     Angle,       PSD,
   13.2564,        30,
   13.2665,        39,
   13.2766,        38,
   13.2868,        26,
   13.2969,        41,
    13.307,        37,
   13.3171,        36,
   13.3272,        44,
   13.3373,        26,
   13.3475,        39,
   13.3576,        40,
   13.3677,        36,
   13.3778,        21,
   13.3879,        25,
   13.3981,        28,
   13.4082,        24,
   13.4183,        24,
   13.4284,        37,
   13.4385,        22,
   13.4486,        37,
   13.4588,        34,
   13.4689,        32,
    13.479,        35,
   13.4891,        31,
   13.4992,        35,
   13.5094,        23,
   13.5195,        34,
   13.5296,        54,
   13.5397,        30,
   13.5498,        23,
     13.56,        30,
   13.5701,        31,
   13.5802,        25,
   13.5903,        27,
   13.6004,        20,
   13.6105,        30,
   13.6207,        31,
   13.6308,        34,
   13.6409,        23,
    13.651,        29,
   13.6611,        34,
   13.6713,        32,
   13.6814,        27,
   13.6915,        31,
   13.7016,        23,
   13.7117,        40,
   13.7218,        32,
    13.732,        32,
   13.7421,        31,
   13.7522,        38,
   13.7623,        34,
   13.7724,        31,
   13.7826,        34,
   13.7927,        37,
   13.8028,        32,
   13.8129,        40,
    13.823,        36,
   13.8332,        28,
   13.8433,        32,
   13.8534,        42,
   13.8635,        29,
   13.8736,        24,
   13.8837,        24,
   13.8939,        34,
    13.904,        32,
   13.9141,        32,
   13.9242,        32,
   13.9343,        39,
   13.9445,        46,
   13.9546,        15,
   13.9647,        27,
   13.9748,        31,
   13.9849,        34,
   13.9951,        33,
   14.0052,        23,
   14.0153,        31,
   14.0254,        26,
   14.0355,        29,
   14.0456,        32,
   14.0558,        26,
   14.0659,        33,
    14.076,        28,
   14.0861,        25,
   14.0962,        44,
   14.1064,        32,
   14.1165,        31,
   14.1266,        32,
   14.1367,        31,
   14.1468,        29,
   14.1569,        28,
   14.1671,        20,
   14.1772,        23,
   14.1873,        27,
   14.1974,        29,
   14.2075,        28,
   14.2177,        34,
   14.2278,        24,
   14.2379,        35,
    14.248,        44,
   14.2581,        28,
   14.2683,        25,
   14.2784,        30,
   14.2885,        25,
   14.2986,        29,
   14.3087,        22,
   14.3188,        31,
    14.329,        25,
   14.3391,        30,
   14.3492,        44,
   14.3593,        33,
   14.3694,        23,
   14.3796,        33,
   14.3897,        29,
   14.3998,        24,
   14.4099,        27,
     14.42,        28,
   14.4302,        35,
   14.4403,        23,
   14.4504,        30,
   14.4605,        22,
   14.4706,        29,
   14.4807,        31,
   14.4909,        25,
    14.501,        33,
   14.5111,        37,
   14.5212,        31,
   14.5313,        34,
   14.5415,        26,
   14.5516,        23,
   14.5617,        33,
   14.5718,        28,
   14.5819,        33,
    14.592,        36,
   14.6022,        30,
   14.6123,        36,
   14.6224,        28,
   14.6325,        41,
   14.6426,        35,
   14.6528,        27,
   14.6629,        30,
    14.673,        24,
   14.6831,        38,
   14.6932,        30,
   14.7034,        26,
